batsman,batsman_hand,batsman_style,batsman_form,bowler,bowler_type,bowler_form,venue,weather,inning,overs,wickets,runs_needed,balls_remaining,current_run_rate,required_run_rate,ball_age,ball_type,bowling_speed_kph,bowling_path_type,pitch_line,pitch_length,batsman_reaction,shot_contact,runs_scored,is_wicket,win_probability_after
Virat Kohli,Right,Anchor,0.92,Rashid Khan,LegSpin,0.9,Rajiv Gandhi International Stadium (Hyderabad),Overcast,2,16.6,9,7,18,11.63,2.33,16.6,Pink Ball,84.2,Cutter,On the Off Stump,Full,Lofted Shot,Weak,1,0,0.8651597618832843
Suryakumar Yadav,Right,Aggressive,0.94,Rashid Khan,LegSpin,0.9,Eden Gardens (Kolkata),Night (Dew),1,13.1,6,0,41,9.16,0.0,13.1,SG Test,95.6,Googly,On the Off Stump,Good Length,Drive,Solid,2,0,0.1615148204780593
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),2,5.2,3,151,88,6.92,10.3,5.2,Pink Ball,100.8,Googly,On the Off Stump,Full,Ramp/Scoop,Solid,2,0,0.8077488010878997
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,M. A. Chidambaram Stadium (Chennai),Sunny,1,3.2,2,0,100,8.75,0.0,3.2,White Kookaburra,144.0,Out-swinger,On the Off Stump,Full,Drive,Weak,2,0,0.45817091144765004
Shubman Gill,Right,Anchor,0.85,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Night (Dew),1,17.4,9,0,14,9.83,0.0,17.4,Pink Ball,80.6,Leg-break,Middle Stump,Good Length,Drive,Weak,0,1,0.15
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Sunny,1,1.1,0,0,113,9.09,0.0,1.1,Pink Ball,146.6,Yorker,On the Off Stump,Yorker,Ramp/Scoop,Edge,0,0,0.42378612420454936
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),1,12.4,6,0,44,10.56,0.0,12.4,White Kookaburra,85.5,Leg-break,On the Off Stump,Full,Drive,Perfect,4,0,0.2182318812994902
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Overcast,1,6.5,3,0,79,6.77,0.0,6.5,White Kookaburra,88.6,Normal,Middle Stump,Full,Defensive,Weak,0,0,0.180180510023156
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,HPCA Stadium (Dharamshala),Night (Dew),1,8.3,5,0,69,8.67,0.0,8.3,SG Test,78.5,Leg-break,Middle Stump,Good Length,Defensive,Weak,1,0,0.2252856898299376
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,Rajiv Gandhi International Stadium (Hyderabad),Humid,1,18.3,9,0,9,8.52,0.0,18.3,White Kookaburra,136.4,Out-swinger,On the Off Stump,Good Length,Lofted Shot,Edge,4,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Humid,2,13.5,8,39,37,9.48,6.32,13.5,Pink Ball,87.8,Normal,Outside Off,Full,Drive,Weak,1,0,0.6863980785519272
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,Narendra Modi Stadium (Ahmedabad),Night (Dew),1,7.5,3,0,73,8.53,0.0,7.5,SG Test,144.5,Yorker,Middle Stump,Yorker,Defensive,Weak,0,0,0.26710218207947956
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,M. A. Chidambaram Stadium (Chennai),Humid,2,4.6,2,105,90,8.48,7.0,4.6,Pink Ball,152.7,Yorker,On the Off Stump,Yorker,Defensive,Weak,0,0,0.9489461894884068
Shubman Gill,Right,Anchor,0.85,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Night (Dew),2,8.4,4,101,68,9.17,8.91,8.4,Pink Ball,78.7,Googly,Middle Stump,Short,Pull/Hook,Weak,1,0,0.8172269530165616
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,Arun Jaitley Stadium (Delhi),Humid,2,14.1,7,48,35,8.3,8.23,14.1,Pink Ball,88.9,Normal,Middle Stump,Full,Slog,Edge,1,0,0.6217678952738742
Rohit Sharma,Right,Aggressive,0.82,Mitchell Starc,LeftArmFast,0.82,M. Chinnaswamy Stadium (Bengaluru),Sunny,2,14.2,7,102,34,7.61,18.0,14.2,White Kookaburra,143.4,Out-swinger,Middle Stump,Full,Defensive,Solid,2,0,0.04909596182776033
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,HPCA Stadium (Dharamshala),Night (Dew),2,2.6,1,166,102,9.23,9.76,2.6,Pink Ball,94.8,Normal,Outside Off,Short,Defensive,Weak,0,0,0.9134506714722347
Shubman Gill,Right,Anchor,0.85,Rashid Khan,LegSpin,0.9,HPCA Stadium (Dharamshala),Night (Dew),1,13.5,7,0,37,9.11,0.0,13.5,Pink Ball,99.9,Googly,Outside Leg,Good Length,Defensive,Weak,1,0,0.16183672008779126
Rishabh Pant,Left,Aggressive,0.78,Yuzvendra Chahal,LegSpin,0.78,Eden Gardens (Kolkata),Sunny,1,14.2,9,0,34,9.44,0.0,14.2,White Kookaburra,84.0,Googly,Outside Off,Full,Lofted Shot,Weak,0,0,0.15
Virat Kohli,Right,Anchor,0.92,Mitchell Starc,LeftArmFast,0.82,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,6.3,4,124,81,10.0,9.19,6.3,SG Test,145.1,In-swinger,Middle Stump,Full,Glance,Solid,1,0,0.7975820348035714
Virat Kohli,Right,Anchor,0.92,Mitchell Starc,LeftArmFast,0.82,Arun Jaitley Stadium (Delhi),Night (Dew),1,13.1,7,0,41,8.85,0.0,13.1,White Kookaburra,140.2,Bouncer,Leg Stump,Short,Lofted Shot,Solid,1,0,0.15
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,M. Chinnaswamy Stadium (Bengaluru),Overcast,1,9.6,4,0,60,10.83,0.0,9.6,White Kookaburra,146.8,Yorker,On the Off Stump,Yorker,Glance,Weak,0,0,0.3470288567741562
Virat Kohli,Right,Anchor,0.92,Mitchell Starc,LeftArmFast,0.82,Rajiv Gandhi International Stadium (Hyderabad),Humid,2,15.2,9,47,28,7.24,10.07,15.2,Pink Ball,144.3,Yorker,Middle Stump,Yorker,Glance,Weak,2,0,0.289050497374996
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,M. Chinnaswamy Stadium (Bengaluru),Humid,1,14.2,9,0,34,11.06,0.0,14.2,SG Test,96.6,Leg-break,Outside Off,Full,Drive,Weak,0,0,0.15
Rohit Sharma,Right,Aggressive,0.82,Yuzvendra Chahal,LegSpin,0.78,HPCA Stadium (Dharamshala),Night (Dew),1,5.6,2,0,84,9.11,0.0,5.6,SG Test,85.7,Leg-break,Leg Stump,Short,Pull/Hook,Weak,0,0,0.46316062951033904
MS Dhoni,Right,Finisher,0.86,Ravindra Jadeja,Ortho,0.86,HPCA Stadium (Dharamshala),Overcast,1,13.1,8,0,41,8.02,0.0,13.1,White Kookaburra,86.9,Off-break,Outside Leg,Full Toss,Slog,Edge,0,1,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Jasprit Bumrah,Fast,0.96,HPCA Stadium (Dharamshala),Sunny,1,16.1,8,0,23,9.57,0.0,16.1,Pink Ball,151.9,Out-swinger,Middle Stump,Good Length,Sweep,Weak,1,0,0.15538171823489452
Rishabh Pant,Left,Aggressive,0.78,Yuzvendra Chahal,LegSpin,0.78,HPCA Stadium (Dharamshala),Overcast,2,17.4,9,50,14,7.59,21.43,17.4,SG Test,79.5,Leg-break,Leg Stump,Short,Lofted Shot,Solid,4,0,0.007917197901350807
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Eden Gardens (Kolkata),Night (Dew),1,5.2,2,0,88,8.65,0.0,5.2,White Kookaburra,84.6,Leg-break,Leg Stump,Good Length,Slog,Weak,0,0,0.3170652641343755
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,Wankhede Stadium (Mumbai),Humid,2,14.4,7,89,32,7.71,16.69,14.4,White Kookaburra,140.3,In-swinger,Outside Off,Good Length,Defensive,Weak,1,0,0.07167164342165548
Rishabh Pant,Left,Aggressive,0.78,Jasprit Bumrah,Fast,0.96,Arun Jaitley Stadium (Delhi),Night (Dew),2,14.4,7,92,32,6.94,17.25,14.4,White Kookaburra,147.0,Yorker,On the Off Stump,Yorker,Defensive,Weak,0,0,0.057310232171925345
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Narendra Modi Stadium (Ahmedabad),Night (Dew),2,18.4,9,7,8,8.37,5.25,18.4,SG Test,141.5,Yorker,On the Off Stump,Yorker,Defensive,Solid,1,0,0.700147428609537
Suryakumar Yadav,Right,Aggressive,0.94,Rashid Khan,LegSpin,0.9,M. A. Chidambaram Stadium (Chennai),Night (Dew),1,2.5,1,0,103,8.8,0.0,2.5,Pink Ball,101.2,Googly,Outside Off,Full,Defensive,Weak,0,0,0.52497918747894
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Overcast,1,11.1,6,0,53,9.73,0.0,11.1,White Kookaburra,65.0,Cutter,On the Off Stump,Good Length,Drive,Edge,1,0,0.22084481091564603
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Wankhede Stadium (Mumbai),Sunny,2,4.2,2,154,94,12.14,9.83,4.2,Pink Ball,143.0,In-swinger,Outside Off,Full,Defensive,Solid,1,0,0.8749180705723484
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Narendra Modi Stadium (Ahmedabad),Sunny,2,17.6,9,3,12,9.43,1.5,17.6,SG Test,145.0,Bouncer,Leg Stump,Short,Defensive,Weak,0,0,0.8836309331002509
Shubman Gill,Right,Anchor,0.85,Rashid Khan,LegSpin,0.9,Rajiv Gandhi International Stadium (Hyderabad),Humid,2,14.6,7,64,30,8.49,12.8,14.6,Pink Ball,101.3,Googly,Leg Stump,Good Length,Drive,Weak,0,0,0.22539780130934217
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Overcast,2,8.4,4,121,68,8.33,10.68,8.4,Pink Ball,124.4,Cutter,Outside Off,Full,Drive,Weak,0,0,0.6915685547982349
Virat Kohli,Right,Anchor,0.92,Mitchell Starc,LeftArmFast,0.82,HPCA Stadium (Dharamshala),Sunny,2,11.5,6,63,49,8.26,7.71,11.5,White Kookaburra,138.2,In-swinger,On the Off Stump,Yorker,Defensive,Weak,1,0,0.7479106630456372
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,HPCA Stadium (Dharamshala),Sunny,1,11.2,7,0,52,7.32,0.0,11.2,White Kookaburra,119.7,Cutter,Outside Off,Good Length,Defensive,Solid,2,0,0.15
Rishabh Pant,Left,Aggressive,0.78,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Night (Dew),1,1.4,0,0,110,7.86,0.0,1.4,White Kookaburra,69.8,Cutter,Outside Off,Good Length,Defensive,Weak,0,0,0.3936488512999091
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Eden Gardens (Kolkata),Overcast,2,1.5,1,192,109,7.33,10.57,1.5,White Kookaburra,82.4,Normal,On the Off Stump,Full,Defensive,Solid,0,0,0.8876208906586432
MS Dhoni,Right,Finisher,0.86,Mitchell Starc,LeftArmFast,0.82,Rajiv Gandhi International Stadium (Hyderabad),Overcast,1,3.6,1,0,96,9.72,0.0,3.6,Pink Ball,144.3,In-swinger,Outside Off,Good Length,Ramp/Scoop,Missed,0,0,0.5521842744020544
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,HPCA Stadium (Dharamshala),Sunny,1,0.6,1,0,114,8.33,0.0,0.6,SG Test,100.7,Leg-break,Outside Off,Full,Drive,Edge,0,0,0.44050199198126366
Rishabh Pant,Left,Aggressive,0.78,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Humid,1,10.4,5,0,56,7.98,0.0,10.4,SG Test,65.8,Cutter,Leg Stump,Good Length,Sweep,Missed,0,1,0.15
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Overcast,1,8.6,4,0,66,7.79,0.0,8.6,SG Test,80.8,Googly,Middle Stump,Good Length,Drive,Weak,0,0,0.17720861981277578
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,Wankhede Stadium (Mumbai),Night (Dew),1,17.2,9,0,16,10.23,0.0,17.2,Pink Ball,139.7,In-swinger,On the Off Stump,Good Length,Drive,Edge,0,0,0.15
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Rajiv Gandhi International Stadium (Hyderabad),Sunny,1,18.4,9,0,8,9.46,0.0,18.4,Pink Ball,86.2,Leg-break,Leg Stump,Full,Defensive,Solid,4,0,0.15
Rishabh Pant,Left,Aggressive,0.78,Jasprit Bumrah,Fast,0.96,Wankhede Stadium (Mumbai),Overcast,1,12.3,6,0,45,7.8,0.0,12.3,Pink Ball,145.9,Bouncer,Outside Off,Short,Slog,Edge,0,0,0.15
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Night (Dew),2,15.3,7,75,27,6.34,16.67,15.3,Pink Ball,80.1,Leg-break,Middle Stump,Good Length,Drive,Weak,0,0,0.0675030997906091
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,Arun Jaitley Stadium (Delhi),Night (Dew),2,15.3,7,18,27,9.28,4.0,15.3,White Kookaburra,138.8,In-swinger,Outside Off,Good Length,Drive,Solid,4,0,0.9089789194773868
Suryakumar Yadav,Right,Aggressive,0.94,Ravindra Jadeja,Ortho,0.86,HPCA Stadium (Dharamshala),Overcast,2,19.2,9,38,4,5.78,57.0,19.2,Pink Ball,72.7,Cutter,Outside Off,Good Length,Defensive,Solid,1,0,0.0
Rohit Sharma,Right,Aggressive,0.82,Yuzvendra Chahal,LegSpin,0.78,M. Chinnaswamy Stadium (Bengaluru),Sunny,1,6.2,4,0,82,9.03,0.0,6.2,Pink Ball,83.5,Normal,Outside Off,Full,Defensive,Weak,1,0,0.1784147220873534
Virat Kohli,Right,Anchor,0.92,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Overcast,1,6.2,3,0,82,7.26,0.0,6.2,SG Test,89.2,Normal,On the Off Stump,Good Length,Lofted Shot,Edge,1,0,0.22456656106673356
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Night (Dew),2,0.4,0,175,116,5.0,9.05,0.4,White Kookaburra,86.8,Normal,Outside Leg,Full,Defensive,Weak,1,0,0.955663970210887
Rishabh Pant,Left,Aggressive,0.78,Mitchell Starc,LeftArmFast,0.82,HPCA Stadium (Dharamshala),Night (Dew),2,7.5,4,127,73,6.67,10.44,7.5,White Kookaburra,142.7,Out-swinger,Outside Off,Good Length,Defensive,Weak,0,0,0.7117366163478477
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Night (Dew),1,7.3,3,0,75,8.49,0.0,7.3,Pink Ball,91.3,Off-break,Outside Off,Good Length,Drive,Edge,0,1,0.21397574218364696
Suryakumar Yadav,Right,Aggressive,0.94,Jasprit Bumrah,Fast,0.96,HPCA Stadium (Dharamshala),Overcast,2,17.3,8,54,15,5.84,21.6,17.3,Pink Ball,146.8,Bouncer,Outside Off,Short,Lofted Shot,Missed,0,0,0.0060598014915841155
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,Narendra Modi Stadium (Ahmedabad),Overcast,2,1.4,0,161,110,6.43,8.78,1.4,Pink Ball,90.8,Normal,On the Off Stump,Good Length,Defensive,Solid,1,0,0.9576060655865486
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,HPCA Stadium (Dharamshala),Overcast,2,12.1,6,85,47,7.19,10.85,12.1,White Kookaburra,96.6,Googly,On the Off Stump,Full,Defensive,Solid,1,0,0.4913052244083456
Rishabh Pant,Left,Aggressive,0.78,Ravindra Jadeja,Ortho,0.86,Eden Gardens (Kolkata),Sunny,2,6.4,4,128,80,6.41,9.6,6.4,Pink Ball,87.9,Normal,Outside Off,Good Length,Defensive,Weak,1,0,0.7727755999047113
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Wankhede Stadium (Mumbai),Sunny,1,6.3,6,0,81,8.73,0.0,6.3,SG Test,143.3,Bouncer,Middle Stump,Short,Pull/Hook,Missed,0,0,0.15
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,Narendra Modi Stadium (Ahmedabad),Sunny,1,11.3,8,0,51,8.05,0.0,11.3,SG Test,93.3,Leg-break,On the Off Stump,Short,Defensive,Weak,1,0,0.15
Virat Kohli,Right,Anchor,0.92,Yuzvendra Chahal,LegSpin,0.78,HPCA Stadium (Dharamshala),Sunny,1,11.2,7,0,52,7.68,0.0,11.2,White Kookaburra,80.0,Leg-break,On the Off Stump,Good Length,Defensive,Weak,0,0,0.15
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Overcast,2,6.5,4,93,79,6.62,7.06,6.5,Pink Ball,79.4,Cutter,On the Off Stump,Full,Defensive,Solid,1,0,0.8931259833166516
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Eden Gardens (Kolkata),Night (Dew),2,11.6,5,76,48,9.57,9.5,11.6,White Kookaburra,83.5,Leg-break,Leg Stump,Good Length,Drive,Solid,4,0,0.7355524124256319
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,HPCA Stadium (Dharamshala),Humid,2,4.5,2,120,91,7.56,7.91,4.5,SG Test,86.1,Googly,Outside Off,Good Length,Defensive,Weak,1,0,0.9323482596104355
Rishabh Pant,Left,Aggressive,0.78,Yuzvendra Chahal,LegSpin,0.78,Arun Jaitley Stadium (Delhi),Night (Dew),1,11.6,7,0,48,8.45,0.0,11.6,SG Test,81.3,Leg-break,Outside Leg,Full,Slog,Weak,1,0,0.15
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Wankhede Stadium (Mumbai),Sunny,2,5.3,2,132,87,9.62,9.1,5.3,Pink Ball,146.4,Out-swinger,On the Off Stump,Full,Defensive,Weak,0,0,0.8981416054827974
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,Wankhede Stadium (Mumbai),Sunny,2,12.6,6,81,42,7.86,11.57,12.6,White Kookaburra,96.5,Googly,On the Off Stump,Good Length,Defensive,Weak,0,0,0.4136781808179844
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Narendra Modi Stadium (Ahmedabad),Night (Dew),1,6.3,3,0,81,9.37,0.0,6.3,White Kookaburra,144.0,Bouncer,Middle Stump,Short,Defensive,Weak,1,0,0.3694582407648822
Suryakumar Yadav,Right,Aggressive,0.94,Rashid Khan,LegSpin,0.9,HPCA Stadium (Dharamshala),Night (Dew),1,11.6,8,0,48,7.5,0.0,11.6,SG Test,98.4,Googly,Outside Off,Full,Drive,Weak,0,0,0.15
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,HPCA Stadium (Dharamshala),Sunny,2,0.3,0,186,117,6.67,9.54,0.3,Pink Ball,142.6,Out-swinger,Outside Leg,Good Length,Defensive,Weak,0,0,0.9444205806799335
Rohit Sharma,Right,Aggressive,0.82,Ravindra Jadeja,Ortho,0.86,M. A. Chidambaram Stadium (Chennai),Night (Dew),2,2.5,2,144,103,5.6,8.39,2.5,SG Test,68.6,Cutter,Outside Off,Full,Defensive,Weak,2,0,0.9238940244112491
Rohit Sharma,Right,Aggressive,0.82,Jasprit Bumrah,Fast,0.96,Eden Gardens (Kolkata),Humid,2,11.4,5,116,50,7.72,13.92,11.4,White Kookaburra,139.5,Bouncer,Middle Stump,Short,Defensive,Solid,1,0,0.32550829583591595
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,M. A. Chidambaram Stadium (Chennai),Night (Dew),1,9.5,4,0,61,7.79,0.0,9.5,White Kookaburra,100.8,Googly,Outside Off,Short,Defensive,Weak,0,0,0.21330375140652527
Suryakumar Yadav,Right,Aggressive,0.94,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Sunny,1,6.2,5,0,82,9.68,0.0,6.2,SG Test,140.8,Yorker,Middle Stump,Yorker,Defensive,Missed,0,0,0.17838418602723835
MS Dhoni,Right,Finisher,0.86,Ravindra Jadeja,Ortho,0.86,Wankhede Stadium (Mumbai),Overcast,1,0.5,0,0,115,8.0,0.0,0.5,Pink Ball,94.6,Normal,Outside Off,Good Length,Defensive,Solid,2,0,0.389360766050778
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,Eden Gardens (Kolkata),Night (Dew),1,4.4,2,0,92,9.32,0.0,4.4,SG Test,136.6,Out-swinger,On the Off Stump,Full,Defensive,Weak,0,0,0.39540059882872747
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,HPCA Stadium (Dharamshala),Overcast,2,8.2,4,110,70,5.85,9.43,8.2,SG Test,138.9,Yorker,On the Off Stump,Yorker,Defensive,Weak,0,0,0.7776759490654319
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,HPCA Stadium (Dharamshala),Night (Dew),1,7.1,3,0,77,7.18,0.0,7.1,Pink Ball,147.6,Out-swinger,Leg Stump,Good Length,Drive,Missed,0,1,0.15232253526661257
Suryakumar Yadav,Right,Aggressive,0.94,Rashid Khan,LegSpin,0.9,Eden Gardens (Kolkata),Sunny,2,15.5,9,55,25,7.29,13.2,15.5,Pink Ball,97.0,Leg-break,Leg Stump,Short,Ramp/Scoop,Weak,1,0,0.10669059394565118
Virat Kohli,Right,Anchor,0.92,Mitchell Starc,LeftArmFast,0.82,HPCA Stadium (Dharamshala),Humid,1,3.1,1,0,101,6.77,0.0,3.1,White Kookaburra,136.7,In-swinger,Leg Stump,Good Length,Glance,Edge,0,0,0.26449208011820075
Shubman Gill,Right,Anchor,0.85,Jasprit Bumrah,Fast,0.96,Narendra Modi Stadium (Ahmedabad),Humid,2,7.5,3,106,73,9.47,8.71,7.5,White Kookaburra,133.7,Cutter,On the Off Stump,Short,Pull/Hook,Edge,0,0,0.8708317907221186
Shubman Gill,Right,Anchor,0.85,Mitchell Starc,LeftArmFast,0.82,Arun Jaitley Stadium (Delhi),Night (Dew),1,12.1,6,0,47,8.26,0.0,12.1,White Kookaburra,143.9,In-swinger,Outside Off,Good Length,Defensive,Weak,0,0,0.15
Rishabh Pant,Left,Aggressive,0.78,Ravindra Jadeja,Ortho,0.86,Wankhede Stadium (Mumbai),Overcast,2,0.6,3,160,114,5.0,8.42,0.6,SG Test,90.8,Normal,On the Off Stump,Good Length,Slog,Edge,1,0,0.8854548848896009
Suryakumar Yadav,Right,Aggressive,0.94,Mitchell Starc,LeftArmFast,0.82,Wankhede Stadium (Mumbai),Night (Dew),2,12.3,6,72,45,10.57,9.6,12.3,SG Test,149.4,Yorker,Middle Stump,Yorker,Ramp/Scoop,Solid,4,0,0.6489769831403319
Rohit Sharma,Right,Aggressive,0.82,Rashid Khan,LegSpin,0.9,M. A. Chidambaram Stadium (Chennai),Night (Dew),1,7.4,3,0,74,7.3,0.0,7.4,White Kookaburra,95.3,Googly,Middle Stump,Short,Pull/Hook,Edge,0,1,0.1767776896966895
MS Dhoni,Right,Finisher,0.86,Rashid Khan,LegSpin,0.9,Eden Gardens (Kolkata),Night (Dew),1,4.1,2,0,95,8.05,0.0,4.1,White Kookaburra,98.5,Googly,Leg Stump,Good Length,Drive,Solid,2,0,0.2679594981583683
Virat Kohli,Right,Anchor,0.92,Jasprit Bumrah,Fast,0.96,Arun Jaitley Stadium (Delhi),Night (Dew),1,13.1,7,0,41,7.71,0.0,13.1,Pink Ball,141.0,Bouncer,Middle Stump,Short,Lofted Shot,Solid,1,0,0.15
MS Dhoni,Right,Finisher,0.86,Jasprit Bumrah,Fast,0.96,Wankhede Stadium (Mumbai),Overcast,2,9.2,4,118,64,6.09,11.06,9.2,Pink Ball,146.1,In-swinger,On the Off Stump,Good Length,Defensive,Solid,1,0,0.6681877721681662
Virat Kohli,Right,Anchor,0.92,Ravindra Jadeja,Ortho,0.86,HPCA Stadium (Dharamshala),Sunny,2,4.4,2,128,92,10.0,8.35,4.4,Pink Ball,94.9,Normal,Outside Off,Full Toss,Drive,Solid,4,0,0.9267945159490396
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,Eden Gardens (Kolkata),Humid,1,16.5,9,0,19,9.27,0.0,16.5,White Kookaburra,84.8,Leg-break,Outside Off,Good Length,Drive,Weak,2,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Yuzvendra Chahal,LegSpin,0.78,Rajiv Gandhi International Stadium (Hyderabad),Sunny,2,5.3,2,122,87,6.98,8.41,5.3,White Kookaburra,80.3,Leg-break,Outside Off,Full,Drive,Weak,0,0,0.9184094772646966
Rishabh Pant,Left,Aggressive,0.78,Ravindra Jadeja,Ortho,0.86,Rajiv Gandhi International Stadium (Hyderabad),Humid,1,2.4,1,0,104,8.33,0.0,2.4,SG Test,87.7,Normal,Outside Leg,Good Length,Defensive,Solid,2,0,0.3903320525923067
Virat Kohli,Right,Anchor,0.92,Ravindra Jadeja,Ortho,0.86,Rajiv Gandhi International Stadium (Hyderabad),Night (Dew),2,9.3,4,81,63,7.74,7.71,9.3,Pink Ball,92.5,Normal,On the Off Stump,Good Length,Defensive,Weak,0,0,0.868578883631795
MS Dhoni,Right,Finisher,0.86,Yuzvendra Chahal,LegSpin,0.78,HPCA Stadium (Dharamshala),Sunny,1,12.1,7,0,47,7.02,0.0,12.1,SG Test,82.2,Googly,Outside Off,Good Length,Slog,Solid,4,0,0.15
Suryakumar Yadav,Right,Aggressive,0.94,Jasprit Bumrah,Fast,0.96,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),2,16.3,9,58,21,8.47,16.57,16.3,White Kookaburra,151.4,Yorker,Middle Stump,Yorker,Defensive,Weak,0,0,0.030531175759947876
Shubman Gill,Right,Anchor,0.85,Ravindra Jadeja,Ortho,0.86,M. Chinnaswamy Stadium (Bengaluru),Night (Dew),2,18.6,9,12,6,11.02,12.0,18.6,SG Test,69.1,Cutter,Middle Stump,Good Length,Drive,Weak,1,0,0.12046861351817804
Virat Kohli,Right,Anchor,0.92,Rashid Khan,LegSpin,0.9,Narendra Modi Stadium (Ahmedabad),Overcast,1,12.5,9,0,43,10.0,0.0,12.5,SG Test,100.2,Leg-break,Outside Leg,Good Length,Glance,Edge,0,0,0.15
